BOE_Prodoction_2 year cum,BOE_Production_6mon cum,TOC,Permeability...d.,Brittleness,Porosity,Thickness,Vclay,TVD,Surf.Lat,Surf.Lon,Lateral..ft.,GPI (gross perforated interval ft),Proppant.per.GPI..lb.ft.,Fluid.per.GPI..gal.ft.,Total.Proppant.Volume,Total.Fluid,API.Gravity,Fluid.Type
319299,140626,2.9,0.25,29.4,0.065,137,0.25,10167,28.49646,-98.72337,6073,5644,2185.683912,1753.641389,12336000,9897552,41,SLKW
80233.5,64433,3.42,0.42,29.5,0.078,137,0.21,11792,28.78306,-98.01701,3538,3286,1015.216068,806.7398052,3336000,2650947,51,XLINK
267300.5,133251,4.77,0.86,27.4,0.103,126,0.17,7582,27.98048,-99.92682,8648,8015,1748.721148,1041.705552,14016000,8349270,63,XLINK
628607.5,237757.5,5.16,1.06,23.5,0.11,233,0.23,13416,28.89894,-97.71044,6397,5928,1470.985155,1069.925776,8720000,6342520,62,XLINK
83798.5,37699.5,4.38,0.76,27.2,0.095,124,0.2,11006,28.29189,-98.96943,5012,4643,1449.063106,1131.916218,6728000,5255487,63,XLINK
356696,188107,3.81,0.51,22.6,0.083,165,0.27,12938,29.15808,-97.45814,6175,5701,1086.826872,1175.545869,6196000,6701787,55,XLINK
391736,200839,3.81,0.5,22.6,0.083,165,0.27,12916,29.15802,-97.45832,5996,5525,1118.190045,1324.314389,6178000,7316837,55,XLINK
110963.5,53097,3.88,0.52,27.8,0.083,149,0.23,6882,28.15223,-99.93029,8768,8077,1829.392101,1324.398415,14776000,10697166,53,XLINK
97295.5,25262.5,3.88,0.52,27.8,0.083,150,0.23,6869,28.15234,-99.93028,8803,8109,2070.292268,1338.100629,16788000,10850658,49,XLINK
379175.5,222611.5,3.81,0.51,22.6,0.083,165,0.27,12918,29.15803,-97.45828,5495,5060,1095.256917,1095.790119,5542000,5544698,55,XLINK
231555.5,99556.5,4.04,0.69,29,0.086,103,0.21,8033,28.22697,-99.69833,6050,5567,1604.814083,1111.632657,8934000,6188459,62,XLINK
190809.5,79555.5,4.04,0.69,29,0.086,103,0.21,8028,28.22693,-99.69832,5537,5088,1596.698113,1163.956368,8124000,5922210,63,XLINK
128090.5,45806,3.89,0.53,27.8,0.084,150,0.23,6910,28.15406,-99.92956,8866,8146,2078.566167,1282.346305,16932000,10445993,50,XLINK
460939.5,247155,3.81,0.51,22.6,0.083,165,0.27,12911,29.15806,-97.45819,6010,5520,1665.57971,1203.995652,9194000,6646056,55,XLINK
438556,143971.5,3.61,0.52,30.4,0.079,209,0.2,10784,28.22576,-99.15436,6282,5767,1152.072135,1399.116698,6644000,8068706,59,GEL
418767.5,144824,3.61,0.52,30.3,0.079,209,0.2,10775,28.22576,-99.15429,6222,5711,1077.569603,1342.370863,6154000,7666280,60,GEL
49275.5,18942,3.89,0.53,27.8,0.084,150,0.23,6916,28.15401,-99.92957,8871,8141,2017.688245,1297.634689,16426000,10564044,50,XLINK
383454,203211,3.8,0.5,22.6,0.083,165,0.27,12910,29.15744,-97.46021,6059,5552,1066.642651,1237.769633,5922000,6872097,56,XLINK
333615.5,151490.5,3.8,0.5,22.6,0.083,165,0.27,12921,29.15745,-97.46017,6071,5562,1115.426106,1154.454513,6204000,6421076,56,XLINK
174652,70848.5,3.9,0.56,28.1,0.087,142,0.21,11032,28.68182,-98.26648,7824,7166,776.1652247,605.8043539,5562000,4341194,47,XLINK
258214,130963,3.24,0.19,19.7,0.071,144,0.33,13500,29.04339,-97.51277,5216,4777,1145.070128,1168.155956,5470000,5580281,60,XLINK
218321,92129,4.77,0.86,27.4,0.103,126,0.17,7588,27.98043,-99.92684,8587,7861,1928.253403,1190.751686,15158000,9360499,65,XLINK
144204.5,81228,3.49,0.48,28.9,0.078,155,0.22,12319,28.7812,-97.96883,4466,4088,837.0841487,662.9129159,3422000,2709988,58,XLINK
145491,67823,3.52,0.42,28.7,0.079,150,0.21,11085,28.49981,-98.49385,7517,6880,1077.325581,945.4377907,7412000,6504612,42,XLINK
373372,151623,4.77,0.86,27.4,0.103,126,0.17,7599,27.98038,-99.92685,8658,7917,2476.695718,1507.519389,19608000,11935031,65,XLINK
383838.5,189670,3.8,0.5,22.6,0.083,165,0.27,12889,29.15739,-97.46034,6080,5559,1173.95215,1189.791329,6526000,6614050,56,XLINK
117437.5,70876.5,3.52,0.51,27.9,0.077,114,0.24,8690,28.53617,-99.03733,5589,5108,1617.462803,1441.229836,8262000,7361802,41,XLINK
138041,85109,3.89,0.53,27.8,0.084,150,0.23,6918,28.15395,-99.92958,9042,8261,2049.630795,1278.283259,16932000,10559898,52,XLINK
391130,198018,3.8,0.5,22.6,0.083,165,0.27,12902,29.1574,-97.4603,6054,5517,1121.986587,1194.687693,6190000,6591092,56,XLINK
71542.5,32601,3.88,0.52,27.8,0.083,149,0.23,6726,28.15228,-99.93028,8794,8011,1976.032955,1386.294969,15830000,11105609,52,XLINK
268855,142836.5,4.38,0.76,27.2,0.095,124,0.2,10980,28.29189,-98.96952,5036,4580,1203.930131,1074.371179,5514000,4920620,63,XLINK
215423.5,148788.5,3.63,0.52,28.4,0.081,155,0.22,12337,28.77059,-97.97666,6650,6047,824.2103522,670.9980155,4984000,4057525,54,XLINK
186533,103087.5,3.46,0.48,28.2,0.076,129,0.25,7158,28.41541,-99.58004,8274,7495,1758.772515,1519.197732,13182000,11386387,45,XLINK
313777.5,157622.5,3.24,0.19,19.6,0.071,147,0.33,13504,29.04005,-97.51511,4251,3847,1976.085261,1679.605147,7602000,6461441,62,XLINK
141390,91630.5,2.72,0.27,31.6,0.063,128,0.24,11910,28.86156,-97.95586,5742,5195,1206.544755,923.7156882,6268000,4798703,49,XLINK
468331.5,147890.5,3.61,0.52,30.4,0.079,209,0.2,10781,28.22576,-99.15443,6430,5813,1174.707208,1523.292448,6828573,8854899,59,GEL
141693.5,81901,2.5,0.23,28.8,0.057,210,0.26,10664,29.45693,-97.28424,6286,5676,2232.55814,2321.404158,12672000,13176290,41,SLKW
440573.5,126691.5,3.14,0.29,21.5,0.068,211,0.31,13343,29.17986,-97.36932,6643,5993,745.2027365,1266.792925,4466000,7591890,60,XLINK
325879.5,133970.5,3.81,0.45,22.7,0.083,154,0.28,12852,29.144,-97.4925,5648,5073,1988.566923,1421.924897,10088000,7213425,53,XLINK
306774,164778,3.14,0.29,21.5,0.068,211,0.31,13334,29.17976,-97.36932,6557,5888,721.1277174,1257.228601,4246000,7402562,59,XLINK
119481.5,74357,2.71,0.27,31.6,0.063,128,0.24,11893,28.86157,-97.95615,5794,5192,1201.078582,941.9187211,6236000,4890442,48,XLINK
94302.5,61227,2.88,0.31,29.4,0.064,120,0.27,8516,28.46305,-99.20944,5019,4497,2064.042695,1809.843674,9282000,8138867,42,SLKW
112690.5,65931,2.88,0.31,29.4,0.064,120,0.27,8499,28.46299,-99.20958,5076,4535,2009.261301,1724.303638,9112000,7819717,42,XLINK
122328,85342,2.71,0.27,31.6,0.063,128,0.24,11907,28.86157,-97.95596,5807,5180,1175.289575,947.6646718,6088000,4908903,50,XLINK
178104.5,93703,2.5,0.23,28.8,0.057,210,0.26,10688,29.45687,-97.28425,6701,5971,1827.164629,2229.313683,10910000,13311232,41,GEL
901886.5,550586,5.17,1.11,26.7,0.11,74,0.16,8416,28.06887,-99.74558,7927,7062,1989.804588,3703.338148,14052000,26152974,60,XLINK
123077.5,72491.5,2.88,0.31,29.4,0.064,120,0.27,8519,28.463,-99.20946,4986,4436,1968.890893,1657.788999,8734000,7353952,42,XLINK
231875.5,81677.5,2.71,0.27,31.6,0.063,128,0.24,11896,28.86157,-97.95605,5820,5175,1208.502415,956.8483092,6254000,4951690,51,XLINK
136501,83398.5,3.44,0.47,29.1,0.077,157,0.22,12384,28.78206,-97.96164,5087,4519,1024.562956,783.7899978,4630000,3541947,57,XLINK
184463,120486.5,2.71,0.27,31.6,0.063,128,0.24,11889,28.86157,-97.95624,5876,5190,1162.620424,1023.660116,6034000,5312796,48,XLINK
362768,177298,3.76,0.43,22.6,0.082,151,0.28,12899,29.13699,-97.49305,6200,5461,1911.737777,1383.723494,10440000,7556514,54,XLINK
319481,121414,5.16,1.06,23.5,0.11,233,0.23,13426,28.89896,-97.71035,6700,5894,1476.416695,1061.774177,8702000,6258097,61,XLINK
214136,128673,3.63,0.52,28.4,0.081,155,0.22,12339,28.77073,-97.97657,6710,5902,853.9478143,675.1370722,5040000,3984659,53,XLINK
275467.5,140644.5,3.81,0.45,22.7,0.083,154,0.28,12834,29.14403,-97.49255,5253,4620,473.1601732,1437.822944,2186000,6642742,53,XLINK
